token	tag
to	TO
hear	VB
a	DT
deep	JJ
groan	NN
near	IN
by.	.
"What	WP
was	VBD
that?"	JJ
she	PRP
asked,	VBD
timidly.	VB
"I	``
cannot	MD
imagine,"	VB
replied	VBD
the	DT
Scarecrow;	NNP
"but	``
we	PRP
can	MD
go	VB
and	CC
see."	VB
Just	RB
then	RB
another	DT
groan	NN
reached	VBD
their	PRP$
ears,	NN
and	CC
the	DT
sound	NN
seemed	VBD
to	TO
come	VB
from	IN
behind	IN
them.	NN
They	PRP
turned	VBD
and	CC
walked	VBD
through	IN
the	DT
forest	NN
a	DT
few	JJ
steps,	NN
when	WRB
Dorothy	NNP
discovered	VBD
something	NN
shining	VBG
in	IN
a	DT
ray	NN
of	IN
sunshine	NN
that	WDT
fell	VBD
between	IN
the	DT
trees.	NN
She	PRP
ran	VBD
to	IN
the	DT
place,	NN
and	CC
then	RB
stopped	VBD
short,	RB
with	IN
a	DT
cry	NN
of	IN
surprise.	NN
One	CD
of	IN
the	DT
big	JJ
trees	NNS
had	VBD
been	VBN
partly	RB
chopped	VBN
through,	RB
and	CC
standing	VBG
beside	IN
it,	,
with	IN
an	DT
uplifted	JJ
axe	NN
in	IN
his	PRP$
hands,	NN
was	VBD
a	DT
man	NN
made	VBN
entirely	RB
of	IN
tin.	NN
His	PRP$
head	NN
and	CC
arms	NNS
and	CC
legs	NNS
were	VBD
jointed	VBN
upon	IN
his	PRP$
body,	NN
but	CC
he	PRP
stood	VBD
perfectly	RB
motionless,	JJ
as	IN
if	IN
he	PRP
could	MD
not	RB
stir	VB
at	RB
all.	RB
Dorothy	NNP
looked	VBD
at	IN
him	PRP
in	IN
amazement,	NN
and	CC
so	RB
did	VBD
the	DT
Scarecrow,	NNP
while	IN
Toto	NNP
barked	VBD
sharply	RB
and	CC
made	VBD
a	DT
snap	NN
at	IN
the	DT
tin	NN
legs,	NN
which	WDT
hurt	VBD
his	PRP$
teeth.	NNS
"Did	``
you	PRP
groan?"	VBD
asked	VBD
Dorothy.	NNP
"Yes,"	NNP
answered	VBD
the	DT
tin	NN
man;	NN
"I	``
did.	VBD
I've	VB
been	VBN
groaning	VBG
for	IN
more	JJR
than	IN
a	DT
year,	NN
and	CC
no	DT
one	NN
has	VBZ
ever	RB
heard	VBN
me	PRP
before	RB
or	CC
come	VB
to	TO
help	VB
me."	PRP
"What	WP
can	MD
I	PRP
do	VB
for	IN
you?"	PRP
she	PRP
enquired,	VBD
softly,	RB
for	IN
she	PRP
was	VBD
moved	VBN
by	IN
the	DT
sad	JJ
voice	NN
in	IN
which	WDT
the	DT
man	NN
spoke.	VBD
"Get	``
an	DT
oil-can	NN
and	CC
oil	NN
my	PRP$
joints,"	NN
he	PRP
answered.	VBD
"They	PRP
are	VBP
rusted	VBN
so	RB
badly	RB
that	IN
I	PRP
cannot	MD
move	VB
them	PRP
at	IN
all;	RB
if	IN
I	PRP
am	VBP
well	RB
oiled	JJ
I	PRP
shall	MD
soon	RB
be	VB
all	RB
right	JJ
again.	RB
You	PRP
will	MD
find	VB
an	DT
oil-can	NN
on	IN
a	DT
shelf	NN
in	IN
my	PRP$
cottage."	NN
Dorothy	NNP
at	IN
once	RB
ran	VBD
back	RB
to	IN
the	DT
cottage	NN
and	CC
found	VBD
the	DT
oil-can,	NN
and	CC
then	RB
she	PRP
returned	VBD
and	CC
asked,	VBD
anxiously,	RB
"Where	UH
are	VBP
your	PRP$
joints?"	JJ
"Oil	NNP
my	PRP$
neck,	NN
first,"	RB
replied	VBD
the	DT
Tin	NNP
Woodman.	NNP
So	RB
she	PRP
oiled	VBD
it,	,
and	CC
as	IN
it	PRP
was	VBD
quite	RB
badly	RB
rusted	JJ
the	DT
Scarecrow	NNP
took	VBD
hold	NN
of	IN
the	DT
tin	NN
head	NN
and	CC
moved	VBD
it	PRP
gently	RB
from	IN
side	NN
to	IN
side	NN
until	IN
it	PRP
worked	VBD
freely,	RB
and	CC
then	RB
the	DT
man	NN
could	MD
turn	VB
it	PRP
himself.	PRP
"Now	UH
oil	VB
the	DT
joints	NNS
in	IN
my	PRP$
arms,"	NN
he	PRP
said.	VBD
And	CC
Dorothy	NNP
oiled	VBD
them	PRP
and	CC
the	DT
Scarecrow	NNP
bent	VBD
them	PRP
carefully	RB
until	IN
they	PRP
were	VBD
quite	RB
free	JJ
from	IN
rust	NN
and	CC
as	RB
good	JJ
as	IN
new.	JJ
The	DT
Tin	NNP
Woodman	NNP
gave	VBD
a	DT
sigh	NN
of	IN
satisfaction	NN
and	CC
lowered	VBD
his	PRP$
axe,	NN
which	WDT
he	PRP
leaned	VBD
against	IN
the	DT
tree.	NN
"This	``
is	VBZ
a	DT
great	JJ
comfort,"	NN
he	PRP
said.	VBD
"I	``
have	VBP
been	VBN
holding	VBG
that	DT
axe	NN
in	IN
the	DT
air	NN
ever	RB
since	IN
I	PRP
rusted,	VBD
and	CC
I'm	RB
glad	JJ
to	TO
be	VB
able	JJ
to	TO
put	VB
it	PRP
down	RP
at	IN
last.	RB
Now,	RB
if	IN
you	PRP
will	MD
oil	VB
the	DT
joints	NNS
of	IN
my	PRP$
legs,	NN
I	PRP
shall	MD
be	VB
all	RB
right	RB
once	RB
more."	''
So	RB
they	PRP
oiled	VBD
his	PRP$
legs	NNS
until	IN
he	PRP
could	MD
move	VB
them	PRP
freely;	RB
and	CC
he	PRP
thanked	VBD
them	PRP
again	RB
and	CC
again	RB
for	IN
his	PRP$
release,	NN
for	IN
he	PRP
seemed	VBD
a	DT
very	RB
polite	JJ
creature,	NN
and	CC
very	RB
grateful.	JJ
"I	``
might	MD
have	VB
stood	VBN
there	RB
always	RB
if	IN
you	PRP
had	VBD
not	RB
come	VBN
along,"	RB
he	PRP
said;	VBD
"so	''
you	PRP
have	VBP
certainly	RB
saved	VBN
my	PRP$
life.	NN
How	WRB
did	VBD
you	PRP
happen	VB
to	TO
be	VB
here?"	JJ
"We	PRP
are	VBP
on	IN
our	PRP$
way	NN
to	IN
the	DT
Emerald	NNP
City,	NNP
to	TO
see	VB
the	DT
great	JJ
Oz,"	NNP
she	PRP
answered,	,
"and	VBP
we	PRP
stopped	VBD
at	IN
your	PRP$
cottage	NN
to	TO
pass	VB
the	DT
night."	NN
"Why	WRB
do	VBP
you	PRP
wish	VB
to	TO
see	VB
Oz?"	NNP
he	PRP
asked.	VBD
"I	``
want	VB
him	PRP
to	TO
send	VB
me	PRP
back	RB
to	IN
Kansas;	NNP
and	CC
the	DT
Scarecrow	NNP
wants	VBZ
him	PRP
to	TO
put	VB
a	DT
few	JJ
brains	NNS
into	IN
his	PRP$
head,"	NN
she	PRP
replied.	VBD
The	DT
Tin	NNP
Woodman	NNP
appeared	VBD
to	TO
think	VB
deeply	RB
for	IN
a	DT
moment.	NN
Then	RB
he	PRP
said:	VBD
"Do	``
you	PRP
suppose	VBP
Oz	NNP
could	MD
give	VB
me	PRP
a	DT
heart?"	NN
"Why,	``
I	PRP
guess	VBP
so,"	''
Dorothy	NNP
answered;	VBD
"it	``
would	MD
be	VB
as	RB
easy	JJ
as	IN
to	TO
give	VB
the	DT
Scarecrow	NN
brains."	''
"True,"	``
the	DT
Tin	NNP
Woodman	NNP
returned.	VBD
"So,	NFP
if	IN
you	PRP
will	MD
allow	VB
me	PRP
to	TO
join	VB
your	PRP$
party,	NN
I	PRP
will	MD
also	RB
go	VB
to	IN
the	DT
Emerald	NNP
City	NNP
and	CC
ask	VB
Oz	NNP
to	TO
help	VB
me."	PRP
"Come	``
along,"	RB
said	VBD
the	DT
Scarecrow,	NNP
heartily;	NNP
and	CC
Dorothy	NNP
added	VBD
that	IN
she	PRP
would	MD
be	VB
pleased	JJ
to	TO
have	VB
his	PRP$
company.	NN
So	RB
the	DT
Tin	NNP
Woodman	NNP
shouldered	VBD
his	PRP$
axe	NN
and	CC
they	PRP
all	DT
passed	VBD
through	IN
the	DT
forest	NN
until	IN
they	PRP
came	VBD
to	IN
the	DT
road	NN
that	WDT
was	VBD
paved	VBN
with	IN
yellow	JJ
brick.	NN
The	DT
Tin	NNP
Woodman	NNP
had	VBD
asked	VBN
Dorothy	NNP
to	TO
put	VB
the	DT
oil-can	NN
in	IN
her	PRP$
basket.	NN
"For,"	``
he	PRP
said,	VBD
"if	IN
I	PRP
should	MD
get	VB
caught	VBN
in	IN
the	DT
rain,	NN
and	CC
rust	VB
again,	RB
I	PRP
would	MD
need	VB
the	DT
oil-can	NN
badly."	JJ
It	PRP
was	VBD
a	DT
bit	NN
of	IN
good	JJ
luck	NN
to	TO
have	VB
their	PRP$
new	JJ
comrade	NN
join	VB
the	DT
party,	NN
for	IN
soon	RB
after	IN
they	PRP
had	VBD
begun	VBN
their	PRP$
journey	NN
again	RB
they	PRP
came	VBD
to	IN
a	DT
place	NN
where	WRB
the	DT
trees	NNS
and	CC
branches	NNS
grew	VBD
so	RB
thick	RB
over	IN
the	DT
road	NN
that	WDT
the	DT
travellers	NNS
could	MD
not	RB
pass.	VB
But	CC
the	DT
Tin	NNP
Woodman	NNP
set	VBD
to	TO
work	VB
with	IN
his	PRP$
axe	NN
and	CC
chopped	VBD
so	RB
well	RB
that	IN
soon	RB
he	PRP
cleared	VBD
a	DT
passage	NN
for	IN
the	DT
entire	JJ
party.	NN
Dorothy	NNP
was	VBD
thinking	VBG
so	RB
earnestly	RB
as	IN
they	PRP
walked	VBD
along	RB
that	IN
she	PRP
did	VBD
not	RB
notice	VB
when	WRB
the	DT
Scarecrow	NNP
stumbled	VBD
into	IN
a	DT
hole	NN
and	CC
rolled	VBD
over	RP
to	IN
the	DT
side	NN
of	IN
the	DT
road.	NN
Indeed,	RB
he	PRP
was	VBD
obliged	VBN
to	TO
call	VB
to	IN
her	PRP
to	TO
help	VB
him	PRP
up	RP
again.	RB
"Why	WP
didn't	VBD
you	PRP
walk	VB
around	IN
the	DT
hole?"	JJ
asked	VBD
the	DT
Tin	NNP
Woodman.	NNP
"I	``
don't	RB
know	VB
enough,"	NN
replied	VBD
the	DT
Scarecrow,	NNP
cheerfully.	JJ
"My	``
head	NN
is	VBZ
stuffed	VBN
with	IN
straw,	NN
you	PRP
know,	VBP
and	CC
that	DT
is	VBZ
why	WRB
I	PRP
am	VBP
going	VBG
to	IN
Oz	NNP
to	TO
ask	VB
him	PRP
for	IN
some	DT
brains."	NN
"Oh,	``
I	PRP
see;"	VBP
said	VBD
the	DT
Tin	NNP
Woodman.	NNP
"But,	``
after	IN
all,	RB
brains	NNS
are	VBP
not	RB
the	DT
best	JJS
things	NNS
in	IN
the	DT
world."	NN
"Have	VBP
you	PRP
any?"	''
enquired	VBD
the	DT
Scarecrow.	NNP
"No,	IN
my	PRP$
head	NN
is	VBZ
quite	RB
empty,"	JJ
answered	VBN
the	DT
Woodman;	NNP
"but	``
once	IN
I	PRP
had	VBD
brains,	NN
and	CC
a	DT
heart	NN
also;	RB
so,	CC
having	VBG
tried	VBN
them	PRP
both,	CC
I	PRP
should	MD
much	RB
rather	RB
have	VB
a	DT
heart."	NN
"And	``
why	WRB
is	VBZ
that?"	VBN
asked	VBD
the	DT
Scarecrow.	NNP
"I	``
will	MD
tell	VB
you	PRP
my	PRP$
story,	NN
and	CC
then	RB
you	PRP
will	MD
know."	VB
So,	NN
while	IN
they	PRP
were	VBD
walking	VBG
through	IN
the	DT
forest,	NN
the	DT
Tin	NNP
Woodman	NNP
told	VBD
the	DT
following	VBG
story:	NN
"I	``
was	VBD
born	VBN
the	DT
son	NN
of	IN
a	DT
woodman	NN
who	WP
chopped	VBD
down	RP
trees	NNS
in	IN
the	DT
forest	NN
and	CC
sold	VBD
the	DT
wood	NN
for	IN
a	DT
living.	NN
When	WRB
I	PRP
grew	VBD
up	RP
I	PRP
too	RB
became	VBD
a	DT
wood-chopper,	NN
and	CC
after	IN
my	PRP$
father	NN
died	VBD
I	PRP
took	VBD
care	NN
of	IN
my	PRP$
old	JJ
mother	NN
as	RB
long	RB
as	IN
she	PRP
lived.	VBD
Then	RB
I	PRP
made	VBD
up	RP
my	PRP$
mind	NN
that	IN
instead	RB
of	IN
living	VBG
alone	RB
I	PRP
would	MD
marry,	VB
so	IN
that	IN
I	PRP
might	MD
not	RB
become	VB
lonely.	JJ
"There	RB
was	VBD
one	CD
of	IN
the	DT
Munchkin	NNP
girls	NNS
who	WP
was	VBD
so	RB
beautiful	JJ
that	IN
I	PRP
soon	RB
grew	VBD
to	TO
love	VB
her	PRP
with	IN
all	DT
my	PRP$
heart.	NN
She,	NNP
on	IN
her	PRP$
part,	NN
promised	VBD
to	TO
marry	VB
me	PRP
as	RB
soon	RB
as	IN
I	PRP
could	MD
earn	VB
enough	JJ
money	NN
to	TO
build	VB
a	DT
better	JJR
house	NN
for	IN
her;	PRP
so	RB
I	PRP
set	VBD
to	TO
work	VB
harder	RBR
than	IN
ever.	.
But	CC
the	DT
girl	NN
lived	VBD
with	IN
an	DT
old	JJ
woman	NN
who	WP
did	VBD
not	RB
want	VB
her	PRP
to	TO
marry	VB
anyone,	NN
for	IN
she	PRP
was	VBD
so	RB
lazy	JJ
she	PRP
wished	VBD
the	DT
girl	NN
to	TO
remain	VB
with	IN
her	PRP
and	CC
do	VB
the	DT
cooking	NN
and	CC
the	DT
housework.	NN
So	RB
the	DT
old	JJ
woman	NN
went	VBD
to	IN
the	DT
wicked	JJ
Witch	NNP
of	IN
the	DT
East,	NNP
and	CC
promised	VBD
her	PRP
two	CD
sheep	NNS
and	CC
a	DT
cow	NN
if	IN
she	PRP
would	MD
prevent	VB
the	DT
marriage.	NN
Thereupon	RB
the	DT
wicked	JJ
Witch	NNP
enchanted	VBD
my	PRP$
axe,	NN
and	CC
when	WRB
I	PRP
was	VBD
chopping	VBG
away	RP
at	IN
my	PRP$
best	JJS
one	CD
day,	NN
for	IN
I	PRP
was	VBD
anxious	JJ
to	TO
get	VB
the	DT
new	JJ
house	NN
and	CC
my	PRP$
wife	NN
as	RB
soon	RB
as	IN
possible,	JJ
the	DT
axe	NN
slipped	VBD
all	RB
at	IN
once	RB
and	CC
cut	VBD
off	RP
my	PRP$
left	JJ
leg.	NN
"This	UH
at	IN
first	RB
seemed	VBD
a	DT
great	JJ
misfortune,	NN
for	IN
I	PRP
knew	VBD
a	DT
one-legged	JJ
man	NN
could	MD
not	RB
do	VB
very	RB
well	RB
as	IN
a	DT
wood-chopper.	NN
So	RB
I	PRP
went	VBD
to	IN
a	DT
tin-smith	NN
and	CC
had	VBD
him	PRP
make	VB
me	PRP
a	DT
new	JJ
leg	NN
out	IN
of	IN
tin.	NN
The	DT
leg	NN
worked	VBD
very	RB
well,	RB
once	IN
I	PRP
was	VBD
used	JJ
to	IN
it;	:
but	CC
my	PRP$
action	NN
angered	VBD
the	DT
wicked	JJ
Witch	NNP
of	IN
the	DT
East,	NNP
for	IN
she	PRP
had	VBD
promised	VBN
the	DT
old	JJ
woman	NN
I	PRP
should	MD
not	RB
marry	VB
the	DT
pretty	JJ
Munchkin	NNP
girl.	NN
When	WRB
I	PRP
began	VBD
chopping	VBG
again	RB
my	PRP$
axe	NN
slipped	VBD
and	CC
cut	VBD
off	RP
my	PRP$
right	JJ
leg.	NN
Again	RB
I	PRP
went	VBD
to	IN
the	DT
tinner,	NN
and	CC
again	RB
he	PRP
made	VBD
me	PRP
a	DT
leg	NN
out	IN
of	IN
tin.	NN
After	IN
this	DT
the	DT
enchanted	JJ
axe	NN
cut	VBD
off	RP
my	PRP$
arms,	NN
one	CD
after	IN
the	DT
other;	JJ
but,	CC
nothing	NN
daunted,	JJ
I	PRP
had	VBD
them	PRP
replaced	VBN
with	IN
tin	NN
ones.	.
The	DT
wicked	JJ
Witch	NNP
then	RB
made	VBD
the	DT
axe	NN
slip	VB
and	CC
cut	VB
off	RP
my	PRP$
head,	NN
and	CC
at	IN
first	RB
I	PRP
thought	VBD
that	DT
was	VBD
the	DT
end	NN
of	IN
me.	NN
But	CC
the	DT
tinner	NN
happened	VBD
to	TO
come	VB
along,	RB
and	CC
he	PRP
made	VBD
me	PRP
a	DT
new	JJ
head	NN
out	IN
of	IN
tin.	NN
"I	``
thought	VBD
I	PRP
had	VBD
beaten	VBN
the	DT
wicked	JJ
Witch	NNP
then,	RB
and	CC
I	PRP
worked	VBD
harder	RBR
than	IN
ever;	DT
but	CC
I	PRP
little	RB
knew	VBD
how	WRB
cruel	JJ
my	PRP$
enemy	NN
could	MD
be.	.
She	PRP
thought	VBD
of	IN
a	DT
new	JJ
way	NN
to	TO
kill	VB
my	PRP$
love	NN
for	IN
the	DT
beautiful	JJ
Munchkin	NNP
maiden,	NN
and	CC
made	VBD
my	PRP$
axe	NN
slip	VB
again,	RB
so	IN
that	IN
it	PRP
cut	VBD
right	RB
through	IN
my	PRP$
body,	NN
splitting	VBG
me	PRP
into	IN
two	CD
halves.	NN
Once	RB
more	RBR
the	DT
tinner	NN
came	VBD
to	IN
my	PRP$
help	NN
and	CC
made	VBD
me	PRP
a	DT
body	NN
of	IN
tin,	NN
fastening	VBG
my	PRP$
tin	NN
arms	NNS
and	CC
legs	NNS
and	CC
head	VB
to	IN
it,	RB
by	IN
means	NNS
of	IN
joints,	NN
so	IN
that	IN
I	PRP
could	MD
move	VB
around	RB
as	RB
well	RB
as	IN
ever.	.
But,	JJ
alas!	RB
I	PRP
had	VBD
now	RB
no	DT
heart,	NN
so	IN
that	IN
I	PRP
lost	VBD
all	PDT
my	PRP$
love	NN
for	IN
the	DT
Munchkin	NNP
girl,	NN
and	CC
did	VBD
not	RB
care	VB
whether	IN
I	PRP
married	VBD
her	PRP
or	CC
not.	RB
I	PRP
suppose	VBP
she	PRP
is	VBZ
still	RB
living	VBG
with	IN
the	DT
old	JJ
woman,	NN
waiting	VBG
for	IN
me	PRP
to	TO
come	VB
after	IN
her.	NNP
"My	UH
body	NN
shone	VBD
so	RB
brightly	RB
in	IN
the	DT
sun	NN
that	WDT
I	PRP
felt	VBD
very	RB
proud	JJ
of	IN
it	PRP
and	CC
it	PRP
did	VBD
not	RB
matter	VB
now	RB
if	IN
my	PRP$
axe	NN
slipped,	VBD
for	IN
it	PRP
could	MD
not	RB
cut	VB
me.	.
There	EX
was	VBD
only	RB
one	CD
danger--that	NN
my	PRP$
joints	NNS
would	MD
rust;	VB
but	CC
I	PRP
kept	VBD
an	DT
oil-can	NN
in	IN
my	PRP$
cottage	NN
and	CC
took	VBD
care	NN
to	IN
oil	NN
myself	PRP
whenever	WRB
I	PRP
needed	VBD
it.	.
However,	RB
there	EX
came	VBD
a	DT
day	NN
when	WRB
I	PRP
forgot	VBP
to	TO
do	VB
this,	NN
and,	CC
being	VBG
caught	VBN
in	IN
a	DT
rainstorm,	NN
before	IN
I	PRP
thought	VBD
of	IN
the	DT
danger	NN
my	PRP$
joints	NNS
had	VBD
rusted,	VBN
and	CC
I	PRP
was	VBD
left	VBN
to	TO
stand	VB
in	IN
the	DT
woods	NNS
until	IN
you	PRP
came	VBD
to	TO
help	VB
me.	PRP
It	PRP
was	VBD
a	DT
terrible	JJ
thing	NN
to	TO
undergo,	VB
but	CC
during	IN
the	DT
year	NN
I	PRP
stood	VBD
there	RB
I	PRP
had	VBD
time	NN
to	TO
think	VB
that	IN
the	DT
greatest	JJS
loss	NN
I	PRP
had	VBD
known	VBN
was	VBD
the	DT
loss	NN
of	IN
my	PRP$
heart.	NN
While	IN
I	PRP
was	VBD
in	IN
love	NN
I	PRP
was	VBD
the	DT
happiest	JJS
man	NN
on	IN
earth;	NN
but	CC
no	DT
one	NN
can	MD
love	VB
who	WP
has	VBZ
not	RB
a	DT
heart,	NN
and	CC
so	CC
I	PRP
am	VBP
resolved	VBN
to	TO
ask	VB
Oz	NNP
to	TO
give	VB
me	PRP
one.	NN
If	IN
he	PRP
does,	VBD
I	PRP
will	MD
go	VB
back	RB
to	IN
the	DT
Munchkin	NNP
maiden	NN
and	CC
marry	VB
her."	PRP
Both	CC
Dorothy	NNP
and	CC
the	DT
Scarecrow	NNP
had	VBD
been	VBN
greatly	RB
interested	JJ
in	IN
the	DT
story	NN
of	IN
the	DT
Tin	NNP
Woodman,	NNP
and	CC
now	RB
they	PRP
knew	VBD
why	WRB
he	PRP
was	VBD
so	RB
anxious	JJ
to	TO
get	VB
a	DT
new	JJ
heart.	NN
"All	``
the	DT
same,"	JJ
said	VBD
the	DT
Scarecrow,	NNP
"I	``
shall	MD
ask	VB
for	IN
brains	NNS
instead	RB
of	IN
a	DT
heart;	NN
for	IN
a	DT
fool	NN
would	MD
not	RB
know	VB
what	WP
to	TO
do	VB
with	IN
a	DT
heart	NN
if	IN
he	PRP
had	VBD
one."	CD
"I	``
shall	MD
take	VB
the	DT
heart,"	NN
returned	VBN
the	DT
Tin	NNP
Woodman;	NNP
"for	``
brains	NNS
do	VBP
not	RB
make	VB
one	CD
happy,	JJ
and	CC
happiness	NN
is	VBZ
the	DT
best	JJS
thing	NN
in	IN
the	DT
world."	NN
Dorothy	NNP
did	VBD
not	RB
say	VB
anything,	NN
for	IN
she	PRP
was	VBD
puzzled	VBN
to	TO
know	VB
which	WDT
of	IN
her	PRP$
two	CD
friends	NNS
was	VBD
right,	JJ
and	CC
she	PRP
decided	VBD
if	IN
she	PRP
could	MD
only	RB
get	VB
back	RB
to	IN
Kansas	NNP
and	CC
Aunt	NNP
Em	NNP
it	PRP
did	VBD
not	RB
matter	VB
so	RB
much	RB
whether	IN
the	DT
Woodman	NNP
had	VBD
no	DT
brains	NNS
and	CC
the	DT
Scarecrow	NNP
no	DT
heart,	NN
or	CC
each	DT
got	VBD
what	WP
he	PRP
wanted.	VBD
What	WP
worried	VBD
her	PRP
most	RBS
was	VBD
that	IN
the	DT
bread	NN
was	VBD
nearly	RB
gone,	JJ
and	CC
another	DT
meal	NN
for	IN
herself	PRP
and	CC
Toto	NNP
would	MD
empty	VB
the	DT
basket.	NN
To	TO
be	VB
sure	JJ
neither	CC
the	DT
Woodman	NNP
nor	CC
the	DT
Scarecrow	NNP
ever	RB
ate	VBD
anything,	NN
but	CC
she	PRP
was	VBD
not	RB
made	VBN
of	IN
tin	NN
nor	CC
straw,	NN
and	CC
could	MD
not	RB
live	VB
unless	IN
she	PRP
was	VBD
fed.	.
Chapter	NN
VI.	NNP
All	PDT
this	DT
time	NN
Dorothy	NNP
and	CC
her	PRP$
companions	NNS
had	VBD
been	VBN
walking	VBG
through	IN
the	DT
thick	JJ
woods.	NN
The	DT
road	NN
was	VBD
still	RB
paved	VBN
with	IN
yellow	JJ
brick,	NN
but	CC
these	DT
were	VBD
much	RB
covered	VBN
by	IN
dried	VBN
branches	NNS
and	CC
dead	JJ
leaves	NNS
from	IN
the	DT
trees,	NN
and	CC
the	DT
walking	NN
was	VBD
not	RB
at	RB
all	RB
good.	JJ
There	EX
were	VBD
few	JJ
birds	NNS
in	IN
this	DT
part	NN
of	IN
the	DT
forest,	NN
for	IN
birds	NNS
love	VBP
the	DT
open	JJ
country	NN
where	WRB
there	EX
is	VBZ
plenty	NN
of	IN
sunshine;	NN
but	CC
now	RB
and	CC
then	RB
there	EX
came	VBD
a	DT
deep	JJ
growl	NN
from	IN
some	DT
wild	JJ
animal	NN
hidden	VBN
among	IN
the	DT
trees.	NN
These	DT
sounds	NNS
made	VBD
the	DT
little	JJ
girl's	NNS
heart	NN
beat	VB
fast,	RB
for	IN
she	PRP
did	VBD
not	RB
know	VB
what	WP
made	VBD
them;	PRP
but	CC
Toto	NNP
knew,	VBD
and	CC
he	PRP
walked	VBD
close	RB
to	IN
Dorothy's	NNP
side,	,
and	CC
did	VBD
not	RB
even	RB
bark	VB
in	IN
return.	NN
"How	UH
long	RB
will	MD
it	PRP
be,"	VB
the	DT
child	NN
asked	VBD
of	IN
the	DT
Tin	NNP
Woodman,	NNP
"before	IN
we	PRP
are	VBP
out	IN
of	IN
the	DT
forest?"	NN
"I	``
cannot	MD
tell,"	VB
was	VBD
the	DT
answer,	NN
"for	''
I	PRP
have	VBP
never	RB
been	VBN
to	IN
the	DT
Emerald	NNP
City.	NNP
But	CC
my	PRP$
father	NN
went	VBD
there	RB
once,	RB
when	WRB
I	PRP
was	VBD
a	DT
boy,	NN
and	CC
he	PRP
said	VBD
it	PRP
was	VBD
a	DT
long	JJ
journey	NN
through	IN
a	DT
dangerous	JJ
country,	NN
although	IN
nearer	RB
to	IN
the	DT
city	NN
where	WRB
Oz	NNP
dwells	VBZ
the	DT
country	NN
is	VBZ
beautiful.	JJ
But	CC
I	PRP
am	VBP
not	RB
afraid	JJ
so	RB
long	RB
as	IN
I	PRP
have	VBP
my	PRP$
oil-can,	NN
and	CC
nothing	NN
can	MD
hurt	VB
the	DT
Scarecrow,	NNP
while	IN
you	PRP
bear	VBP
upon	IN
your	PRP$
forehead	NN
the	DT
mark	NN
of	IN
the	DT
good	JJ
Witch's	NNP
kiss,	NN
and	CC
that	WDT
will	MD
protect	VB
you	PRP
from	IN
harm."	NN
"But	``
Toto!"	NNP
said	VBD
the	DT
girl,	NN
anxiously;	RB
"what	WP
will	MD
protect	VB
him?"	''
"We	``
must	MD
protect	VB
him	PRP
ourselves,	PRP
if	IN
he	PRP
is	VBZ
in	IN
danger,"	NN
replied	VBD
the	DT
Tin	NNP
Woodman.	NNP
Just	RB
as	IN
he	PRP
spoke	VBD
there	RB
came	VBD
from	IN
the	DT
forest	NN
a	DT
terrible	JJ
roar,	NN
and	CC
the	DT
next	JJ
moment	NN
a	DT
great	JJ
Lion	NN
bounded	VBD
into	IN
the	DT
road.	NN
With	IN
one	CD
blow	NN
of	IN
his	PRP$
paw	NN
he	PRP
sent	VBD
the	DT
Scarecrow	NNP
spinning	VBG
over	RP
and	CC
over	RB
to	IN
the	DT
edge	NN
of	IN
the	DT
road,	NN
and	CC
then	RB
he	PRP
struck	VBD
at	IN
the	DT
Tin	NNP
Woodman	NNP
with	IN
his	PRP$
sharp	JJ
claws.	NN
But,	CC
to	IN
the	DT
Lion's	NNP
surprise,	NN
he	PRP
could	MD
make	VB
no	DT
impression	NN
on	IN
the	DT
tin,	NN
although	IN
the	DT
Woodman	NNP
fell	VBD
over	RP
in	IN
the	DT
road	NN
and	CC
lay	VBD
still.	RB
Little	NNP
Toto,	NNP
now	RB
that	IN
he	PRP
had	VBD
an	DT
enemy	NN
to	IN
face,	NN
ran	VBD
barking	VBG
toward	IN
the	DT
Lion,	NNP
and	CC
the	DT
great	JJ
beast	NN
had	VBD
opened	VBN
his	PRP$
mouth	NN
to	TO
bite	VB
the	DT
dog,	NN
when	WRB
Dorothy,	NNP
fearing	VBG
Toto	NNP
would	MD
be	VB
killed,	JJ
and	CC
heedless	JJ
of	IN
danger,	NN
rushed	VBD
forward	RB
and	CC
slapped	VBD
the	DT
Lion	NNP
upon	IN
his	PRP$
nose	NN
as	RB
hard	RB
as	IN
she	PRP
could,	VBD
while	IN
she	PRP
cried	VBD
out:	:
"Don't	``
you	PRP
dare	VB
to	TO
bite	VB
Toto!	NNP
You	PRP
ought	MD
to	TO
be	VB
ashamed	JJ
of	IN
yourself,	PRP
a	DT
big	JJ
beast	NN
like	IN
you,	PRP
to	TO
bite	VB
a	DT
poor	JJ
little	JJ
dog!"	NN
"I	``
didn't	RB
bite	VB
him,"	PRP
said	VBD
the	DT
Lion,	NNP
as	IN
he	PRP
rubbed	VBD
his	PRP$
nose	NN
with	IN
his	PRP$
paw	NN
where	WRB
Dorothy	NNP
had	VBD
hit	VBN
it.	PRP
"No,	UH
but	CC
you	PRP
tried	VBD
to,"	UH
she	PRP
retorted.	VBD
"You	PRP
are	VBP
nothing	NN
but	IN
a	DT
big	JJ
coward."	NN
"I	``
know	VBP
it,"	PRP
said	VBD
the	DT
Lion,	NNP
hanging	VBG
his	PRP$
head	NN
in	IN
shame;	JJ
